Dim.1;Dim.2;Dim.3;Dim.4;Dim.5;
Points;23,15895174;2,29478305;4,802546387;0,063411041;0,126155418
Longueur;11,08738257;7,028855795;0,055638455;17,98243813;0,028104161
100m;11,91183839;0,084896456;0,246259445;16,43599451;0,026500367
Poids;7,452974706;11,44470044;1,786272675;13,30002584;13,38502819
Hauteur;0,649255274;34,77293476;8,686744348;1,298156871;6,389815594
400m;10,72237995;21,60974163;7,722210999;4,593581103;2,698932934
110m.haies;15,52134033;0,23250559;3,17288602;0,158608417;0,273176717
Perche;1,639671058;5,466933089;21,72597818;1,322932962;43,78831542
Javelot;5,353766627;2,683607021;1,749215854;26,79346472;24,39762539
1500m;4,708102224;1,418510461;47,15545687;0,649552995;2,261093741
Disque;7,794337129;12,96253171;2,896790772;17,40183341;6,625252069
